term,coef,stderr,z,p_value,ci_lower,ci_upper,odds_ratio,or_ci_lower,or_ci_upper,significant
cat__penultimate_touch_channel_Direct Traffic,0.14125242807452065,0.021463712280824505,6.580987772591154,4.673328390936149e-11,0.09918355200410461,0.1833213041449367,1.151715336579028,1.104268971740704,1.2012002967179363,Yes
cat__penultimate_touch_channel_Display Ads,0.12198961381674243,0.02438563355764812,5.002519763464688,5.658577884037896e-07,0.07419377204375213,0.16978545558973274,1.1297423680081162,1.0770154807687111,1.18505057806748,Yes
cat__penultimate_touch_channel_Email,0.12527869581882045,0.029232663907686307,4.285572338341708,1.8226932535503337e-05,0.06798267455975529,0.1825747170778856,1.1334643008134777,1.0703467640892277,1.20030383079804,Yes
cat__penultimate_touch_channel_None,0.056018730841233495,0.013202218582185479,4.243130083971101,2.2042357663565326e-05,0.03014238242014996,0.08189507926231704,1.0576174936164415,1.0306012630094867,1.0853419289795954,Yes
cat__penultimate_touch_channel_Referral,0.11368772890253909,0.030311966824174662,3.7505889855972616,0.00017641968121928642,0.054276273927156754,0.17309918387792142,1.1204022010265309,1.0557762453160167,1.1889840272825576,Yes
cat__penultimate_touch_channel_Search Ads,0.06231180957494284,0.03304345009364606,1.8857537393446941,0.05932814747298698,-0.0024533526086034374,0.12707697175848912,1.0642941501018566,0.9975496544013197,1.135504416189525,No
cat__penultimate_touch_channel_Social Media,0.12843764508547492,0.02628424680714994,4.886487561459696,1.0265080945259797e-06,0.07692052134346103,0.17995476882748881,1.137050518392781,1.0799562395105082,1.1971632128013758,Yes
cat__first_touch_campaign_-,0.22898497196212458,0.03607549613433526,6.347382475613013,2.1900925517570613e-10,0.15827699953882748,0.2996929443854217,1.2573231437680341,1.1714906521386985,1.3494443894782069,Yes
cat__first_touch_campaign_Brand Awareness,0.16048022607282866,0.03223911801668873,4.977810682964568,6.430750851826872e-07,0.09729155476011875,0.22366889738553858,1.1740745568462976,1.1021816730938454,1.2506568551121804,Yes
cat__first_touch_campaign_Discount Offer,0.10689524579919091,0.037889134672115826,2.821263845802726,0.004783484225202361,0.03263254184184389,0.18115794975653793,1.1128176760470914,1.0331708224330867,1.1986044836288936,Yes
cat__first_touch_campaign_New Product Launch,0.09821836970933638,0.040655236641791125,2.4158848360600573,0.015697025171065082,0.018534105891425776,0.177902633527247,1.1032036650707873,1.0187069284849934,1.194708990971142,Yes
cat__first_touch_campaign_Retargeting,0.06577861017170088,0.03658755768823506,1.7978409691131794,0.07220221291469486,-0.005933002897239831,0.13749022324064158,1.0679902488133053,0.9940845626085486,1.1473904881565424,No
cat__first_touch_campaign_Winter Sale,0.0886192283990923,0.03389554751259899,2.6144799214750107,0.008936341281553295,0.022183955274398273,0.1550545015237863,1.0926645214860922,1.0224318489035042,1.167721601977513,Yes
cat__last_touch_campaign_-,0.20821436784702,0.034300258165224834,6.07034404359432,1.2763652357250521e-09,0.14098586184317932,0.27544287385086064,1.2314771303565908,1.151408369077581,1.31711386100679,Yes
cat__last_touch_campaign_Brand Awareness,0.12736776411173867,0.02933117970659309,4.34240168264043,1.4093355962474519e-05,0.06987865188681622,0.18485687633666112,1.135834660204724,1.0723780423062648,1.203046243419753,Yes
cat__last_touch_campaign_Discount Offer,0.11919436131418946,0.03759485944255188,3.1704962614989562,0.0015217879101185883,0.04550843680678779,0.19288028582159114,1.1265888623023688,1.046559834199815,1.2127376029428458,Yes
cat__last_touch_campaign_New Product Launch,0.08267595501483917,0.03854152101681873,2.1451139662796668,0.03194373604372558,0.0071345738218744625,0.15821733620780387,1.0861897771640932,1.007160085529315,1.1714207591891728,Yes
cat__last_touch_campaign_Retargeting,0.0724456506798979,0.03448621268734079,2.1007134455936147,0.03566612831648541,0.004852673812709957,0.14003862754708585,1.075134371680115,1.0048644671028897,1.1503182319707197,Yes
cat__last_touch_campaign_Winter Sale,0.1390785531465889,0.030949423484106054,4.493736473573154,6.99842259810346e-06,0.07841768311774103,0.19973942317543678,1.1492143708629652,1.0815743196718381,1.2210845303711297,Yes
cat__most_frequent_channel_Direct Traffic,0.21337943514890426,0.02390292868308788,8.926915943144547,0.0,0.166529694930052,0.26022917536775647,1.237854247558037,1.181198610959725,1.2972273451561989,Yes
cat__most_frequent_channel_Display Ads,0.17054659323087273,0.024480027909147047,6.966764656634538,3.2431834995350073e-12,0.12256573852894452,0.21852744793280093,1.1859529080241868,1.1303934280326238,1.244243168061336,Yes
cat__most_frequent_channel_Email,0.1273388930238633,0.02997556727288534,4.248089514524344,2.156012519605177e-05,0.06858678116900804,0.18609100487871857,1.1358018678958144,1.0709935629916816,1.2045318736669577,Yes
cat__most_frequent_channel_Referral,0.10233886530939125,0.02857104998394277,3.5819077481193995,0.00034109424945460987,0.046339607340863426,0.15833812327791907,1.1077587891581322,1.0474300655013573,1.1715622602161226,Yes
cat__most_frequent_channel_Search Ads,0.07121046461158942,0.024091260328992403,2.955862982639055,0.0031179557026228544,0.02399159436676431,0.11842933485641452,1.0738072005030672,1.0242817081180677,1.1257273216084047,Yes
cat__most_frequent_channel_Social Media,0.0641624007896528,0.019729240619294777,3.2521475117954277,0.0011453656236704024,0.02549308917583503,0.10283171240347055,1.0662655470682372,1.0258208169786571,1.1083048794167545,Yes
