roc_auc,pr_auc,accuracy,balanced_accuracy,precision,recall,specificity,f1,brier_score,log_loss,model,feature_set,repeat,fold,random_state,n_train,n_test,positive_rate_train,positive_rate_test
0.7865049245504654,0.9435104390963327,0.8347978910369068,0.5119273515857956,0.8398576512455516,0.9915966386554622,0.03225806451612903,0.9094412331406551,0.11356491237890837,0.36844656968065703,channel_plus_length,channel_presence_plus_length,1,2,42,2278,569,0.8362598770851625,0.836555360281195
0.8226484142043915,0.9573939617869401,0.8347978910369068,0.5249051233396584,0.8435251798561151,0.9852941176470589,0.06451612903225806,0.9089147286821705,0.10921034471426744,0.3477783135497565,channel_plus_length,channel_presence_plus_length,1,3,42,2278,569,0.8362598770851625,0.836555360281195
0.7620628896719978,0.9380007434982037,0.8260105448154658,0.5326307942531852,0.8458715596330275,0.9684873949579832,0.0967741935483871,0.9030362389813908,0.11949457296609596,0.38346813453866163,channel_plus_length,channel_presence_plus_length,1,4,42,2278,569,0.8362598770851625,0.836555360281195
0.7963075674579022,0.9490721395459821,0.8368421052631579,0.5,0.8368421052631579,1.0,0.0,0.9111747851002865,0.11224038491298684,0.3626650845643633,channel_plus_length,channel_presence_plus_length,2,0,42,2277,570,0.8361879666227492,0.8368421052631579
0.7712654210620418,0.943009161065322,0.8192982456140351,0.6058018952261757,0.8678500986193294,0.9243697478991597,0.2872340425531915,0.8952187182095626,0.1208764025261506,0.38184357376688083,channel_plus_length,channel_presence_plus_length,2,1,42,2277,570,0.836627140974967,0.8350877192982457
0.7746001626457034,0.9462786415374933,0.836555360281195,0.5216296195897714,0.8425760286225402,0.9894957983193278,0.053763440860215055,0.9101449275362319,0.11938720937861869,0.3770430234981317,channel_plus_length,channel_presence_plus_length,2,2,42,2278,569,0.8362598770851625,0.836555360281195
0.8418157585614892,0.9599850212637888,0.836555360281195,0.5,0.836555360281195,1.0,0.0,0.9110047846889953,0.10544336190214534,0.3403911253235375,channel_plus_length,channel_presence_plus_length,2,3,42,2278,569,0.8362598770851625,0.836555360281195
0.7622549019607844,0.9388291015895934,0.8312829525483304,0.5487598265112497,0.8505535055350554,0.9684873949579832,0.12903225806451613,0.9056974459724951,0.12008849851476897,0.3856157588765414,channel_plus_length,channel_presence_plus_length,2,4,42,2278,569,0.8362598770851625,0.836555360281195
0.7533080859313359,0.9400588242050754,0.8368421052631579,0.5519375126800568,0.8516483516483516,0.9748427672955975,0.12903225806451613,0.9090909090909091,0.12213923937479758,0.3879221380815541,channel_plus_length,channel_presence_plus_length,3,0,42,2277,570,0.8361879666227492,0.8368421052631579
0.7758023422134811,0.9394354751168362,0.8315789473684211,0.5491239048811014,0.8492647058823529,0.9705882352941176,0.1276595744680851,0.9058823529411765,0.11661416599635123,0.3771564867853652,channel_plus_length,channel_presence_plus_length,3,1,42,2277,570,0.836627140974967,0.8350877192982457
0.8175205566097407,0.957899632369078,0.836555360281195,0.5,0.836555360281195,1.0,0.0,0.9110047846889953,0.11185062888592995,0.3531818348499327,channel_plus_length,channel_presence_plus_length,3,2,42,2278,569,0.8362598770851625,0.836555360281195
0.7743177916327821,0.9444228669842946,0.827768014059754,0.5293552905032981,0.8448905109489051,0.9726890756302521,0.08602150537634409,0.904296875,0.1190006983468746,0.3787080069851759,channel_plus_length,channel_presence_plus_length,3,3,42,2278,569,0.8362598770851625,0.836555360281195
0.8187178097045269,0.953820251960841,0.836555360281195,0.5,0.836555360281195,1.0,0.0,0.9110047846889953,0.10845918854028733,0.35109924906373285,channel_plus_length,channel_presence_plus_length,3,4,42,2278,569,0.8362598770851625,0.836555360281195
